,12.1,General,Updated the push notification prompt for Safari on macOS to require a user gesture.,,
,12.1,General,Updated the behavior of websites saved to the home screen on iOS to pause in the background instead of relaunching each time.,,
,12.1,Authentication and Passwords,Updated Password AutoFill to sign in automatically to websites after filling in the credentials.,,
,12.1,Security and Privacy,Added warnings displayed to the user when loading insecure pages in both Safari and in SFSafariViewController.,https://developer.apple.com/documentation/SafariServices/SFSafariViewController,
,12.1,Security and Privacy,Added Motion & Orientation settings on iOS to enable the DeviceMotionEvent and DeviceOrientationEvent events.,"https://developer.apple.com/documentation/webkitjs/devicemotionevent 
https://developer.apple.com/documentation/webkitjs/deviceorientationevent",
,12.1,Security and Privacy,Removed support for the expired Do Not Track standard to prevent potential use as a fingerprinting variable.,,
,12.1,Security and Privacy,"Updated the link behavior for ""target=_blank"" to include rel=""noopener"" implicitly.",,
,12.1,Intelligent Tracking Prevention,Removed support for partitioned cookies for domains with cross-site tracking capabilities. The Storage Access API now provides third-party access to cookies.,,
,12.1,Intelligent Tracking Prevention,Improved Intelligent Tracking Prevention to limit long-term tracking based on client-side first-party cookies and to verify partitioned cache entries.,,
,12.1,Web API,Added a supported-color-schemes meta tag to indicate a website supports light and dark color schemes.,,
,12.1,Web API,"Added support for the Intersection Observer API, which detects the intersection of visible elements relative to other elements. Elements include the viewport of the top-level document.",,
,12.1,Web API,Added support for the Web Share API to invoke the native share dialog provided by the system.,,
,12.1,Web API,"Added support for <input type=""color"">.",,
,12.1,Web API,Added support for the <datalist> element.,,
,12.1,Payment Request API,Added support for granular errors.,,
,12.1,Payment Request API,"Added support in Wallet & Apple Pay preferences for using the default contact information for the shipping address, email, and phone. On iOS, set preferences in the Transaction Defaults category in Settings > Wallet & Apple Pay. On Mac, set preferences in System Preferences > Wallet & Apple Pay > Contacts and Shipping.",,
,12.1,Payment Request API,Added support for the default addresses and contacts configured in the Contacts and Shipping in the Wallet system preferences on iOS and macOS.,,
,12.1,Payment Request API,"Added support for special fields for Japan including phoneticName, subLocality, and subAdministrativeArea.","https://developer.apple.com/documentation/apple_pay_on_the_web/applepaypaymentcontact/2937162-sublocality 
https://developer.apple.com/documentation/apple_pay_on_the_web/applepaypaymentcontact/2937163-subadministrativearea",
,12.1,CSS and Text,Added support for the CSS media queries prefers-color-scheme: light and prefers-color-scheme: dark.,,
,12.1,CSS and Text,Added support for CSS rules to customize text decorations like underlines and dashed underlines.,,
,12.1,CSS and Text,Added support for new rgb() color functions from the CSS Color 4 specification.,,
,12.1,Media,Added support for H.264 simulcast and VP8 in WebRTC to improve support for multi-party video conferencing.,,
,12.1,Media,Enabled cross-browser Encrypted Media Extensions (EME) by adding APIs without the webkit prefix.,,
,12.1,Safari App Extension API,Added getAllWindows(completionHandler:) and getAllTabs(completionHandler:) for iterating over all open windows and tabs.,"https://developer.apple.com/documentation/safariservices/sfsafariapplication/3075404-getallwindows 
https://developer.apple.com/documentation/safariservices/sfsafariwindow/3075415-getalltabs",
,12.1,Safari App Extension API,Added getContainingTab(completionHandler:) and getContainingWindow(completionHandler:) access to the containing tab and window objects.,"https://developer.apple.com/documentation/safariservices/sfsafaripage/3075408-getcontainingtab 
https://developer.apple.com/documentation/safariservices/sfsafaritab/3075411-getcontainingwindow",
,12.1,Safari App Extension API,Added a close method to SFSafariWindow and SFSafariTab for closing windows and tabs.,"https://developer.apple.com/documentation/SafariServices/SFSafariWindow 
https://developer.apple.com/documentation/SafariServices/SFSafariTab",
,12.1,Safari App Extension API,Added navigate(to:) for changing the URL of a tab.,https://developer.apple.com/documentation/safariservices/sfsafaritab/3075412-navigate,
,12.1,Safari App Extension API,Added getScreenshotOfVisibleArea(completionHandler:) for taking a screenshot of the visible contents of a page.,https://developer.apple.com/documentation/safariservices/sfsafaripage/3075409-getscreenshotofvisiblearea,
,12.1,Safari App Extension API,Added showPopover() and dismissPopover() for showing and dismissing extension popovers.,"https://developer.apple.com/documentation/safariservices/sfsafaritoolbaritem/3075413-showpopover 
https://developer.apple.com/documentation/safariservices/sfsafariextensionviewcontroller/3075407-dismisspopover",
,12.1,Safari App Extension API,Added getBaseURI(completionHandler:) for retrieving the base URI in the app extension process.,https://developer.apple.com/documentation/safariservices/sfsafariextension/3075406-getbaseuri,
,12.1,Safari App Extension API,Improved support for navigating backwards and forwards.,,
,12.1,Web Inspector and Tools,Added support for multiple selection of DOM tree nodes and of entries in the Cookies table.,,
,12.1,Web Inspector and Tools,Improved styles editing with multiple selection support.,,
,12.1,Web Inspector and Tools,Updated Timelines to include media events.,,
