,15.6,CSS,Added support for :modal CSS pseudo-class.,,
,15.6,CSS,Fixed object-fit causing iframe contents to shift.,,
,15.6,CSS,"Fixed inert behavior to apply to ::after, ::before, and ::marker pseudo-elements.",,
,15.6,CSS,Fixed :focus-visible matching a mouse click after a second element.focus() call.,,
,15.6,CSS,Fixed logical inline and logical block viewport units to be based on the current element’s writing-mode.,,
,15.6,Editing,Fixed resetting writing direction when inserting a new paragraph breaks out of a quoted reply block.,,
,15.6,Editing,Fixed managed pasteboard on iOS to work for all managed locations including managed Safari domains.,,
,15.6,Fonts,Fixed automatically updating page layout when new fonts are installed.,,
,15.6,HTML,Fixed <link rel=preconnect> to respect crossorigin=anonymous and prevent sending credentials to different-origin links.,,
,15.6,Media,Fixed blank video playback with only audio.,,
,15.6,Media,Fixed replaceTrack with different constraints preventing sending packets.,,
,15.6,Media,Fixed WebAudio playback rate speeding up for a few seconds when using createMediaElementSource.,,
,15.6,Media,Fixed stalled playback when seeking in a xHE-AAC track backed by a SourceBuffer.,,
,15.6,Media,Fixed starting audio playback in Safari when the device is locked.,,
,15.6,Media,Fixed playback for video when the timeline sometimes goes backward at the start of playback.,,
,15.6,Media,Fixed capturing and rendering audio simultaneously.,,
,15.6,Rendering,Fixed flickering when rendering overlapping negative z-index layers.,,
,15.6,Rendering,Fixed disappearing multi-column content inside a fixed position container when scrolling.,,
,15.6,Rendering,Fixed images displayed in Reader not appearing in a print job or PDF export.,,
,15.6,WebAuthn,"Fixed missing text in a sign-in sheet when registering a passkey with syncing platform authenticator disabled, if Touch ID isn’t configured.",,
,15.6,Web Animations,Fixed computing implicit keyframes when either a 0 percent or 100 percent keyframe (or both) define only a timing function.,,
,15.6,Web API,Fixed communication between BroadcastChannel instances in distinct opaque origins.,,
,15.6,Web Inspector,"Fixed resources from memory cache showing empty content in Network, Sources, and Search tabs.",,
