,16.2,CSS,"Added support for additional values for the  font-variant-alternates property: annotation(value-name), character-variant(value-name), ornaments(value-name), styleset(value-name), stylistic(value-name), swash(value-name), along with the associated @font-feature-values at-rule.",,
,16.2,CSS,Added support for last baseline alignment for Flexbox and Grid.,,
,16.2,CSS,Added support for color-mix().,,
,16.2,CSS,Added support for Gradient Interpolation Color Spaces.,,
,16.2,CSS,Fixed backgrounds with a fixed attachment to behave like scroll inside transformed elements.,,
,16.2,CSS,Fixed calculating inline min-content size to include the aspect-ratio and add the min-content block computation.,,
,16.2,CSS,Fixed flexbox cases where border and padding are added twice to the computed min and max sizes.,,
,16.2,CSS,Fixed flex base size width calculation to not consider min and max sizes.,,
,16.2,CSS,Fixed focus behavior to not take into account scroll margin when checking visibility.,,
,16.2,CSS,Fixed layout containment to not propagate forced breaks to the parent.,,
,16.2,CSS,Fixed percentage based translations not working with SVG <text> elements.,,
,16.2,CSS,Fixed perspective: 0 behavior.,,
,16.2,CSS,Fixed re-snap to follow scroll snap target if necessary.,,
,16.2,CSS,Fixed scroll snap to choose the closest snap target if targets on each axes aren’t visible.,,
,16.2,CSS,Fixed text-decoration-thickness property to not be inherited.,,
,16.2,CSS,Fixed transforms on SVG shapes and groups when the root element size is changed.,,
,16.2,CSS,Fixed text-decoration location for superscripts and subscripts when the text string contains both regular text and either superscript or subscript.,,
,16.2,CSS,Fixed text-decoration pixel alignment when the content is truncated.,,
,16.2,CSS,Fixed removing the intrinsic margin when specifying the width or height of an <input> element.,,
,16.2,CSS,Fixed rounding for rgba() channels.,,
,16.2,CSS,Fixed font-variant shorthand parsing to allow the font-variant-east-asian property in any position.,,
,16.2,CSS,Fixed scroll snapping on a date input with scroll-margin applied.,,
,16.2,Rendering,Fixed applying lineWidth and strokeStyle when drawing on .,,
,16.2,Rendering,Fixed contain: content breaking scrolling when applied to the body.,,
,16.2,Rendering,Fixed applying transform-origin with a z-component.,,
,16.2,Rendering,Fixed computing the baseline position for tables when margins are applied.,,
,16.2,Rendering,"Fixed applying transforms to table sections: tbody, thead, and tfoot.",,
,16.2,Rendering,Fixed: transform changes recompute overflow.,,
,16.2,Media,Fixed updating MediaSessionInfo for a media element when a srcObject is used.,,
,16.2,Web API,Fixed SharedWorker to honor Upgrade-Insecure-Request.,,
,16.2,WebDriver,Fixed Element Click command failing on iOS.,,
,16.2,WebDriver,Fixed: Enabled touch pointer input source subtype on iOS.,,
